order_id,customer_id,restaurant_id,employee_id,order_date,order_time,delivery_charges,distance_from_restaurant,prepared_time,out_for_delivery_time,delivered_time,pick_up_time,estimated_delivery_time,completion_time,cancellation_time,refund_time,payment_type,flag,tip_amount
O161,C164,R100,E32,2022-02-06,02:28:21,13.22,12.51,22:51:32,23:14:32,23:46:11,23:15:32,49,23:56:25,,,CASH,suspicious,1.64
O162,C124,R61,E32,2023-02-26,23:15:19,6.97,3.98,23:16:19,23:17:19,23:19:19,23:18:19,10,23:20:19,,,VISA DEBIT,delivered,3.71
O163,C145,R86,E27,2022-08-02,12:05:55,8.06,5.27,12:06:55,12:07:55,12:09:55,12:08:55,17,12:10:55,,,MASTER DEBIT,suspicious,7.42
O164,C31,R11,E20,2022-09-24,00:18:26,5.61,2.36,08:53:49,09:27:49,10:16:40,09:28:49,9,10:19:09,,,MASTER CREDIT,delivered,5.03
O165,C116,R98,E33,2022-08-21,12:51:42,8.27,7.16,12:52:42,12:53:42,12:55:42,12:54:42,23,12:56:42,,,VISA CREDIT,delivered,3.57
O166,C50,R198,E27,2022-01-20,00:46:52,6.97,1.29,00:47:52,01:00:36,01:33:54,01:01:36,3,01:48:38,,,VISA CREDIT,suspicious,8.17
O167,C138,R21,E38,2022-11-21,05:16:58,13.5,13.47,08:08:20,08:38:20,08:44:35,08:39:20,32,08:54:52,,,AMEX DEBIT,suspicious,10.0
O168,C177,R47,E27,2022-03-18,00:18:47,5.08,9.97,09:54:47,10:20:47,10:48:49,10:21:47,35,10:57:27,,,MASTER DEBIT,cancelled,9.99
O169,C50,R67,E50,2022-11-26,03:47:34,19.33,14.49,11:29:06,11:41:06,,11:42:06,50,12:29:09,11:51:58,12:18:32,VISA CREDIT,suspicious,7.7
O170,C52,R63,E14,2022-10-19,14:25:48,7.33,3.47,22:05:24,22:33:24,22:54:36,22:34:24,9,23:07:43,,,VISA DEBIT,delivered,1.0
O171,C180,R121,E9,2022-09-10,01:17:42,18.3,13.77,12:10:34,12:31:34,12:33:34,12:32:34,34,12:43:49,,,CASH,cancelled,6.31
O172,C119,R92,E6,2022-03-26,04:32:31,6.63,4.19,20:31:03,21:02:03,,21:03:03,16,21:58:45,21:46:56,21:53:34,MASTER DEBIT,suspicious,2.06
O173,C55,R198,E44,2022-09-06,21:45:37,5.62,6.19,21:46:37,21:47:37,21:49:37,21:48:37,17,21:50:37,,,AMEX DEBIT,delivered,6.26
O174,C85,R15,E18,2022-02-19,19:05:09,8.38,8.0,19:06:09,19:07:09,19:09:09,19:08:09,29,19:10:09,,,VISA CREDIT,cancelled,8.09
O175,C77,R81,E5,2022-01-16,10:17:01,17.6,14.2,20:17:05,20:42:05,,20:43:05,43,21:17:35,21:09:28,21:10:13,VISA CREDIT,suspicious,7.33
O176,C11,R140,E10,2022-10-16,13:46:34,7.38,3.6,13:47:34,13:48:34,13:50:34,13:49:34,8,13:51:34,,,VISA CREDIT,suspicious,9.55
O177,C85,R122,E43,2022-07-19,06:40:15,6.35,7.35,11:46:49,12:09:49,13:01:58,12:10:49,20,13:09:12,,,CASH,suspicious,1.24
O178,C41,R126,E42,2022-02-08,08:44:29,18.32,13.9,19:46:46,20:12:46,20:20:35,20:13:46,37,20:35:22,,,AMEX DEBIT,cancelled,8.05
O179,C114,R7,E22,2022-12-22,08:55:07,11.08,14.17,08:56:07,08:57:07,,08:58:07,41,07:05:45,06:20:29,07:00:16,VISA DEBIT,cancelled,1.75
O180,C173,R41,E44,2022-01-01,21:40:48,7.72,4.07,22:26:22,22:41:22,23:19:26,22:42:22,13,23:21:59,,,AMEX DEBIT,delivered,4.46
O181,C149,R35,E42,2022-07-21,17:10:38,19.72,13.61,17:11:38,17:12:38,17:14:38,17:13:38,41,17:15:38,,,VISA CREDIT,delivered,0.69
O182,C81,R74,E36,2022-06-19,16:56:54,9.32,2.18,16:57:54,16:58:54,17:00:54,16:59:54,6,17:01:54,,,MASTER CREDIT,suspicious,7.37
O183,C193,R22,E40,2022-04-12,06:13:31,9.88,8.79,22:57:33,23:19:33,23:21:33,23:20:33,21,23:22:33,,,CASH,suspicious,5.61
O184,C39,R131,E50,2022-05-11,02:14:07,9.54,2.65,06:49:45,07:19:45,07:23:39,07:20:45,6,07:38:36,,,CASH,delivered,6.7
O185,C28,R104,E29,2022-05-25,08:24:24,7.43,8.87,12:39:32,13:13:32,13:43:09,13:14:32,23,13:53:54,,,MASTER CREDIT,cancelled,8.22
O186,C69,R26,E43,2022-02-16,04:43:25,11.7,14.39,17:30:19,17:46:19,,17:47:19,36,19:42:55,18:44:35,19:40:41,MASTER DEBIT,cancelled,6.76
O187,C116,R178,E14,2022-12-01,02:31:24,14.59,10.33,04:55:36,05:21:36,05:54:32,05:22:36,33,06:01:25,,,MASTER CREDIT,delivered,2.7
O188,C31,R36,E13,2022-05-24,22:33:54,7.19,5.04,22:34:54,22:35:54,22:37:54,22:36:54,19,22:38:54,,,VISA DEBIT,suspicious,1.42
O189,C35,R58,E47,2022-08-15,16:19:21,19.83,13.1,16:20:21,16:21:21,16:23:21,16:22:21,32,16:24:21,,,VISA CREDIT,delivered,5.0
O190,C121,R136,E30,2022-04-04,01:07:04,16.69,11.73,13:27:43,13:43:43,14:35:58,13:44:43,38,14:48:52,,,AMEX DEBIT,cancelled,2.28
O191,C140,R2,E18,2022-10-10,13:43:24,12.13,14.0,13:44:24,13:45:24,,13:46:24,29,10:37:36,10:21:56,10:36:16,VISA CREDIT,suspicious,6.94
O192,C37,R9,E7,2023-02-07,04:08:57,7.72,3.14,15:45:14,16:05:14,16:37:02,16:06:14,6,16:43:56,,,MASTER DEBIT,suspicious,6.49
O193,C14,R38,E33,2022-02-04,13:40:02,5.36,1.44,13:41:02,13:42:02,13:44:02,13:43:02,4,13:45:02,,,CASH,delivered,8.61
O194,C23,R158,E49,2023-02-20,03:18:27,19.5,11.34,12:44:28,13:09:28,13:28:42,13:10:28,40,13:39:04,,,MASTER DEBIT,delivered,1.65
O195,C83,R16,E45,2022-12-11,17:28:51,9.62,5.49,17:29:51,17:30:51,17:32:51,17:31:51,20,17:33:51,,,VISA DEBIT,cancelled,6.27
O196,C155,R64,E37,2023-01-07,02:09:50,8.6,5.56,13:02:30,13:32:30,,13:33:30,20,14:13:38,13:53:36,14:05:52,MASTER CREDIT,suspicious,6.24
O197,C171,R84,E16,2023-01-07,22:42:03,7.12,6.53,22:43:03,22:44:03,22:46:03,22:45:03,14,22:47:03,,,CASH,cancelled,5.07
O198,C85,R105,E43,2022-03-28,14:48:43,7.21,6.12,14:49:43,14:50:43,,14:51:43,13,10:05:41,09:52:42,10:00:58,MASTER CREDIT,suspicious,3.13
O199,C128,R85,E16,2023-03-18,21:17:17,7.46,4.08,21:18:17,21:19:17,21:21:17,21:20:17,9,21:22:17,,,CASH,delivered,9.97
O200,C4,R120,E15,2023-03-29,01:05:49,9.6,2.98,10:36:44,10:58:44,11:49:52,10:59:44,8,12:01:18,,,VISA CREDIT,suspicious,7.23
